SignalID,Timestamp,EventCode,EventParam
63082004,2023-03-13 22:57:08.0000000,8,8
63082004,2023-03-13 22:57:12.0000000,10,4
63082004,2023-03-13 22:57:12.0000000,10,8
63082004,2023-03-13 22:57:13.0000000,1,2
63082004,2023-03-13 22:57:13.0000000,1,6
63082004,2023-03-13 22:57:41.0000000,8,2
63082004,2023-03-13 22:57:41.0000000,8,6
63082004,2023-03-13 22:57:45.0000000,10,2
63082004,2023-03-13 22:57:45.0000000,10,6
63082004,2023-03-13 22:57:47.0000000,1,4
63082004,2023-03-13 22:57:47.0000000,1,8
63082004,2023-03-13 22:57:57.0000000,8,4
63082004,2023-03-13 22:57:57.0000000,8,8
63082004,2023-03-13 22:58:01.0000000,10,4
63082004,2023-03-13 22:58:01.0000000,10,8
63082004,2023-03-13 22:58:02.0000000,1,2
63082004,2023-03-13 22:58:02.0000000,1,6
63082004,2023-03-13 22:58:27.0000000,8,2
63082004,2023-03-13 22:58:27.0000000,8,6
63082004,2023-03-13 22:58:31.0000000,10,2
63082004,2023-03-13 22:58:31.0000000,10,6
63082004,2023-03-13 22:58:33.0000000,1,4
63082004,2023-03-13 22:58:33.0000000,1,8
63082004,2023-03-13 22:58:43.0000000,8,4
63082004,2023-03-13 22:58:43.0000000,8,8
63082004,2023-03-13 22:58:47.0000000,10,4
63082004,2023-03-13 22:58:47.0000000,10,8
63082004,2023-03-13 22:58:48.0000000,1,2
63082004,2023-03-13 22:58:48.0000000,1,6
63082004,2023-03-13 22:59:13.0000000,8,2
63082004,2023-03-13 22:59:13.0000000,8,6
63082004,2023-03-13 22:59:17.0000000,10,2
63082004,2023-03-13 22:59:17.0000000,10,6
63082004,2023-03-13 22:59:19.0000000,1,4
63082004,2023-03-13 22:59:19.0000000,1,8
63082004,2023-03-13 22:59:29.0000000,8,4
63082004,2023-03-13 22:59:29.0000000,8,8
63082004,2023-03-13 22:59:33.0000000,10,4
63082004,2023-03-13 22:59:33.0000000,10,8
63082004,2023-03-13 22:59:34.0000000,1,2
63082004,2023-03-13 22:59:34.0000000,1,5
63082004,2023-03-13 22:59:40.0000000,8,5
63082004,2023-03-13 22:59:44.0000000,10,5
63082004,2023-03-13 22:59:45.0000000,1,6
63082004,2023-03-13 23:00:10.0000000,8,2
63082004,2023-03-13 23:00:10.0000000,8,6
63082004,2023-03-13 23:00:14.0000000,10,2
63082004,2023-03-13 23:00:14.0000000,10,6
63082004,2023-03-13 23:00:16.0000000,1,4
63082004,2023-03-13 23:00:16.0000000,1,7
63082004,2023-03-13 23:00:26.0000000,8,4
63082004,2023-03-13 23:00:26.0000000,8,7
